SKU,Price,Date
1,129.98,01-06-2009
2,57.96,01-06-2009
3,84.38,08-12-2009
1,159.96,08-12-2009
2,56.98,08-12-2009
2,58.38,08-12-2009
2,57.96,01-06-2009
1,93.48,01-06-2009
1,93.48,01-06-2009
2,61.97,08-12-2009
1,149.37,08-12-2009
3,115.98,01-06-2009
1,178.77,08-12-2009
2,61.95,01-06-2009
1,128.65,01-06-2009
2,57.96,01-06-2009
2,58,01-06-2009
2,56.99,08-12-2009
1,160.48,08-12-2009
1,156.26,09-12-2009
1,129.98,02-06-2009
1,178.77,09-12-2009
3,115.98,02-06-2009
3,84.38,09-12-2009
2,59.22,09-12-2009
2,57.96,02-06-2009
2,57.96,02-06-2009
1,128.65,02-06-2009
2,54.9,09-12-2009
2,58,02-06-2009
1,160.48,09-12-2009
1,93.48,02-06-2009
1,93.48,02-06-2009
2,57.96,02-06-2009
1,129.98,03-06-2009
3,115.98,03-06-2009
1,158.56,10-12-2009
1,149.37,09-12-2009
2,54.99,09-12-2009
2,57.96,03-06-2009
3,84.38,10-12-2009
2,59.22,10-12-2009
2,57.96,03-06-2009
1,93.48,03-06-2009
1,128.65,03-06-2009
2,57.96,03-06-2009
2,58,03-06-2009
1,178.77,10-12-2009
2,53.99,10-12-2009
1,93.48,03-06-2009
1,149.37,10-12-2009
1,160.48,10-12-2009
1,129.98,04-06-2009
3,115.98,04-06-2009
2,58,04-06-2009
1,128.65,04-06-2009
2,57.96,04-06-2009
2,57.96,04-06-2009
2,57.96,04-06-2009
1,93.48,04-06-2009
1,93.48,04-06-2009
2,54.9,10-12-2009
1,158.56,11-12-2009
1,178.77,11-12-2009
3,84.38,11-12-2009
2,59.22,11-12-2009
2,53.99,11-12-2009
1,160.48,11-12-2009
1,149.37,11-12-2009
2,54.9,11-12-2009
1,129.98,05-06-2009
3,115.98,05-06-2009
1,128.65,05-06-2009
2,57.96,05-06-2009
2,57.96,05-06-2009
2,57.96,05-06-2009
1,93.48,05-06-2009
1,158.56,12-12-2009
3,84.38,12-12-2009
2,53.95,12-12-2009
2,58,05-06-2009
1,129.98,06-06-2009
3,115.98,06-06-2009
1,93.48,05-06-2009
2,57.96,06-06-2009
2,57.96,06-06-2009
1,93.48,06-06-2009
1,93.48,06-06-2009
1,128.65,06-06-2009
2,57.96,06-06-2009
2,58,06-06-2009
1,160.48,12-12-2009
2,53.95,13-12-2009
1,158.56,13-12-2009
1,149.37,12-12-2009
1,135,12-12-2009
2,53.96,12-12-2009
3,84.38,13-12-2009
1,160.48,13-12-2009
1,129.98,07-06-2009
3,115.98,07-06-2009
2,57.96,07-06-2009
2,57.96,07-06-2009
2,58,07-06-2009
1,128.65,07-06-2009
2,57.96,07-06-2009
1,93.48,07-06-2009
1,93.48,07-06-2009
1,149.37,13-12-2009
1,135,13-12-2009
2,53.96,13-12-2009
1,159.95,14-12-2009
1,178.77,14-12-2009
2,53.94,14-12-2009
3,84.38,14-12-2009
2,59.22,14-12-2009
3,94.66,14-12-2009
1,129.98,08-06-2009
3,115.98,08-06-2009
1,184.8,14-12-2009
1,149.37,14-12-2009
2,53.94,14-12-2009
2,57.96,08-06-2009
2,57.96,08-06-2009
1,128.65,08-06-2009
2,57.96,08-06-2009
2,58,08-06-2009
1,93.48,08-06-2009
1,93.48,08-06-2009
1,158.93,15-12-2009
1,160.48,14-12-2009
2,53.94,15-12-2009
1,158.83,15-12-2009
3,84.38,15-12-2009
1,149.37,15-12-2009
3,94.66,15-12-2009
1,129.98,09-06-2009
3,115.98,09-06-2009
1,128.65,09-06-2009
2,57.96,09-06-2009
2,57.96,09-06-2009
1,93.48,09-06-2009
1,93.48,09-06-2009
2,57.96,09-06-2009
1,158.83,16-12-2009
2,53.94,15-12-2009
3,84.38,16-12-2009
2,53.93,16-12-2009
2,58,09-06-2009
1,158.93,16-12-2009
3,94.66,16-12-2009
1,129.98,10-06-2009
1,149.37,16-12-2009
2,57.96,10-06-2009
3,115.98,10-06-2009
1,128.65,10-06-2009
2,57.96,10-06-2009
2,58,10-06-2009
2,57.96,10-06-2009
1,158.83,17-12-2009
1,93.48,10-06-2009
1,93.48,10-06-2009
2,53.94,16-12-2009
2,53.9,17-12-2009
3,84.38,17-12-2009
1,142.56,11-06-2009
1,158.93,17-12-2009
3,94.66,17-12-2009
3,115.98,11-06-2009
1,149.37,17-12-2009
2,54.99,11-06-2009
2,57.96,11-06-2009
2,55.64,11-06-2009
1,128.65,11-06-2009
2,54.99,11-06-2009
2,58,11-06-2009
3,109.58,11-06-2009
1,91.97,11-06-2009
2,53.92,17-12-2009
2,53.15,18-12-2009
1,159.95,18-12-2009
2,53.15,18-12-2009
3,82.5,18-12-2009
2,54.99,12-06-2009
1,142.56,12-06-2009
1,116.43,12-06-2009
3,115.98,12-06-2009
1,128.65,12-06-2009
2,54.99,12-06-2009
2,57.96,12-06-2009
2,55.64,12-06-2009
3,109.58,12-06-2009
1,160.48,18-12-2009
2,53.15,19-12-2009
3,102.22,18-12-2009
1,171.99,19-12-2009
2,53.15,19-12-2009
2,55.5,12-06-2009
1,159.95,19-12-2009
1,90.47,12-06-2009
1,144.08,18-12-2009
2,53.15,18-12-2009
3,82.5,19-12-2009
2,53.15,19-12-2009
1,142.56,13-06-2009
3,102.22,19-12-2009
1,144.08,19-12-2009
2,53.15,19-12-2009
2,54.99,13-06-2009
1,160.48,19-12-2009
1,116.43,13-06-2009
3,115.98,13-06-2009
2,57.96,13-06-2009
2,55.64,13-06-2009
3,109.58,13-06-2009
1,90.47,13-06-2009
1,128.65,13-06-2009
2,54.99,13-06-2009
1,164.96,20-12-2009
1,159.95,20-12-2009
2,55.5,13-06-2009
3,82.5,20-12-2009
2,49.85,20-12-2009
2,49.85,20-12-2009
2,49.75,20-12-2009
2,49.85,20-12-2009
3,102.23,20-12-2009
2,54.99,14-06-2009
1,128.65,14-06-2009
3,115.98,14-06-2009
1,116.43,14-06-2009
1,142.56,14-06-2009
2,54.99,14-06-2009
2,55.5,14-06-2009
1,160.48,20-12-2009
2,57.96,14-06-2009
2,55.64,14-06-2009
3,109.58,14-06-2009
1,144.08,20-12-2009
1,172.99,21-12-2009
2,49.85,21-12-2009
1,159.95,21-12-2009
3,82.5,21-12-2009
2,49.85,21-12-2009
2,49.75,21-12-2009
2,49.85,21-12-2009
1,142.56,15-06-2009
2,54.99,15-06-2009
2,55.5,15-06-2009
3,102.24,21-12-2009
